id,id2,Census Tract,County,State,Median_income,Income Bracket,ENERGY BILL,ELEC BILL,GAS BILL,WATER BILL,energy burden,elec burden,gas bill,water bill,Total HH,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",HH_Living costs (month),HH_Living Costs (annual),Poverty Rate,Population_Greater_Mile,Food_Desert,Elderly Living Alone,Rent Burden,Eviction Rates,Eviction Filings,Eviction Filing Rates,Transportation Burden,Lack of Health Insurance,Tree Canopy Coverage,Vacant Houses
1400000US36029990000,36029990000,9900,Erie,New York,-,16.1,4049.470588,1075.676471,2973.794118,780.4485294,NA,NA,NA,NA,2932,69,243,308,336,394,544,610,692,863,1113,1486,1987,2411,2632,2851,2932,Null,Null,0,Null,0,Null,0,0,0,0,0,Null,Null,Null
1400000US36029940100,36029940100,9401,Erie,New York,-,16.1,2006.044088,1177.442886,828.6012024,226.7995992,NA,NA,NA,NA,1396,106,325,462,539,632,758,856,948,993,1059,1173,1356,1386,1386,1386,1396,0,0,0,Null,0,Null,0,0,0,0,0.29,Null,Null,0
1400000US36029009110,36029009110,91.1,Erie,New York,3241,1.2,2230.096774,1046.709677,1183.387097,346.1935484,0.6880891,0.322958864,0.365130237,0.106816892,660,71,138,174,197,249,280,308,334,350,413,472,562,604,616,639,660,0,0,100,Null,1,Null,0,0,0,0,0.19,Null,Null,0.001515152
1400000US36029006201,36029006201,62.01,Erie,New York,3145,1.2,2067.329032,1052.670968,1014.658065,236.4709677,0.657338325,0.334712549,0.322625776,0.075189497,950,6,41,102,183,225,257,330,351,397,441,604,758,812,870,916,950,0,0,0,Null,0,0,0,0,0,0,0,Null,0.061490202,0.001052632
1400000US36029004602,36029004602,46.02,Erie,New York,4484,1.2,1634.469136,914.617284,719.8518519,228.9176955,0.364511404,0.203973525,0.16053788,0.051052118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,Null,0,0,0,0,0,0,0.3,0,0.0865625,#DIV/0!
1400000US36029005202,36029005202,52.02,Erie,New York,11820,2.3,2686.876847,1477.241379,1209.635468,352.3546798,0.227316146,0.12497812,0.102338026,0.029810041,1034,46,131,196,276,337,402,496,593,630,782,894,999,999,1017,1034,1034,901,10812,40.9,Null,1,0.117579909,0.285,0.0056,29,0.0538,0.19,0.025,0.090799999,0.043520309
1400000US36029004402,36029004402,44.02,Erie,New York,12118,2.3,2070.895522,1060.343284,1010.552239,211.0447761,0.170894168,0.087501509,0.083392659,0.017415809,1428,316,427,615,690,847,895,920,984,1045,1098,1213,1308,1363,1406,1423,1428,370,4440,60.4,Null,0,0.140625,0.263,0,1133,1.1514,0.18,0.099,0.057867899,0.114145658
1400000US36029002702,36029002702,27.02,Erie,New York,12452,2.3,2060.713936,1107.696822,953.0171149,281.0220049,0.165492607,0.088957342,0.076535265,0.022568423,1678,333,572,652,756,827,901,996,1073,1126,1194,1319,1465,1582,1665,1678,1678,579,6948,50.6,Null,0,0.15060241,0.479,0.0123,181,0.2025,0.19,0.07,0.075478101,0.100715137
1400000US36029005700,36029005700,57,Erie,New York,14144,3.1,2953.090909,1483.022727,1470.068182,323.2982955,0.208787536,0.10485172,0.103935816,0.022857628,2116,45,71,105,212,268,306,350,404,439,566,750,915,1103,1364,1722,2116,591,7092,41.5,Null,0,0.071361502,0.267,0.0014,188,0.2681,0.2,0.023,0.109575996,0.056710775
1400000US36029002800,36029002800,28,Erie,New York,12850,2.4,1964.4,973.5111111,990.8888889,364.6851852,0.152871595,0.07575962,0.077111976,0.02838017,1360,189,399,506,576,648,814,879,946,1035,1146,1231,1274,1342,1342,1342,1360,645,7740,43.7,Null,0,0.067428571,0.37,0.0078,141,0.1834,0.2,0.073,0.090961199,0.091911765
