NonZombie,Zombie,address,IsZombie
0.294986749,0.705013251,999 DELAWARE,Y
0.924047353,0.075952647,995 LAFAYETTE,N
0.344019626,0.655980374,993 KENSINGTON,Y
0.945924719,0.054075281,99 VANDERBILT,N
0.169242192,0.830757808,99 RICHFIELD,Y
0.120405052,0.879594948,99 PONTIAC,Y
0.201559889,0.798440111,99 EAST,Y
0.348949766,0.651050234,988 NORTHLAND,Y
0.507343433,0.492656567,986 GRANT,N
0.899103827,0.100896173,982 ABBOTT,N
0.897134556,0.102865444,980 GRANT,N
0.960424636,0.039575364,98 ROSEVILLE,N
0.169242192,0.830757808,98 FENNIMORE,Y
0.592384447,0.407615553,977 DELAWARE,N
0.356074866,0.643925134,973 ABBOTT,Y
0.31461684,0.68538316,97 LINWOOD,Y
0.13190926,0.86809074,97 DETROIT,Y
0.876714856,0.123285144,964 FILLMORE,N
0.872423149,0.127576851,962 LAFAYETTE,N
0.164775609,0.835224391,96 PLYMOUTH,Y
0.866670806,0.133329194,96 HOWELL,N
0.852598002,0.147401998,96 FARGO,N
0.875177037,0.124822963,95 KENTUCKY,N
0.359174274,0.640825726,95 GROTE,Y
0.937230181,0.062769819,942 HUMBOLDT,N
0.916461776,0.083538224,94 GERMAIN,N
0.564268886,0.435731114,933 WALDEN,N
0.466327815,0.533672185,93 COIT,Y
0.226956072,0.773043928,929 SYCAMORE,Y
0.194612603,0.805387397,926 NORTHLAND,Y
0.951634332,0.048365668,92 ASHLEY,N
0.950714628,0.049285372,92 ALBERT,N
0.869596254,0.130403746,911 GLENWOOD,N
0.872423149,0.127576851,905 ELMWOOD,N
0.23416673,0.76583327,897 WEST,Y
0.150905924,0.849094076,892 ELMWOOD,Y
0.950702996,0.049297004,89 ALBANY,N
0.09129989,0.90870011,881 BROADWAY,Y
0.632585173,0.367414827,88 STRAUSS,N
0.31461684,0.68538316,88 MASTEN,Y
0.908754307,0.091245693,871 NIAGARA,N
0.169242192,0.830757808,87 LOCKWOOD,Y
0.235705704,0.764294296,87 ANDOVER,Y
0.894540892,0.105459108,868 NIAGARA,N
0.293204447,0.706795553,865 ELK,Y
0.878849028,0.121150972,864 NIAGARA,N
0.220955047,0.779044953,860 TONAWANDA,Y
0.939131647,0.060868353,86 PUTNAM,N
0.294986749,0.705013251,86 BEST,Y
0.494520079,0.505479921,86 AUSTIN,Y
0.934671127,0.065328873,856 NORTHAMPTON,N
0.872569624,0.127430376,856 NIAGARA,N
0.939047698,0.060952302,853 PROSPECT,N
0.901067721,0.098932279,850 WEST,N
